Fish,Neuromast,Timepoint,Genotype,Date,Hair_Cells,HCs_new
zf1,nm1,12,WT,20240705,2,2
zf1,nm2,12,WT,20240705,4,2
zf1,nm3,12,WT,20240705,0,0
zf1,nm4,12,WT,20240705,0,0
zf2,nm1,12,WT,20240705,2,2
zf2,nm2,12,WT,20240705,2,2
zf2,nm3,12,WT,20240705,3,1
zf2,nm4,12,WT,20240705,2,1
zf3,nm1,12,WT,20240705,2,2
zf3,nm2,12,WT,20240705,4,2
zf3,nm3,12,WT,20240705,1,0
zf3,nm4,12,WT,20240705,2,0
zf4,nm1,12,WT,20240705,3,1
zf4,nm2,12,WT,20240705,2,0
zf4,nm3,12,WT,20240705,3,0
zf4,nm4,12,WT,20240705,2,1
zf4,nm5,12,WT,20240705,2,0
zf5,nm1,12,WT,20240705,4,2
zf5,nm3,12,WT,20240705,3,2
zf5,nm4,12,WT,20240705,2,0
zf5,nm5,12,WT,20240705,4,0
zf5,nm6,12,WT,20240705,2,0
zf6,nm1,12,WT,20240705,2,2
zf6,nm2,12,WT,20240705,5,2
zf6,nm3,12,WT,20240705,2,2
zf6,nm4,12,WT,20240705,4,2
zf6,nm5,12,WT,20240705,2,2
zf7,nm1,12,WT,20240705,3,3
zf7,nm2,12,WT,20240705,4,1
zf7,nm3,12,WT,20240705,4,2
zf7,nm4,12,WT,20240705,1,0
zf7,nm5,12,WT,20240705,2,0
zf1,nm1,12,Het,20240705,2,0
zf1,nm2,12,Het,20240705,1,0
zf1,nm3,12,Het,20240705,0,0
zf1,nm4,12,Het,20240705,2,0
zf2,nm1,12,Het,20240705,2,2
zf2,nm2,12,Het,20240705,2,2
zf2,nm3,12,Het,20240705,1,1
zf2,nm4,12,Het,20240705,4,2
zf2,nm5,12,Het,20240705,2,2
zf3,nm1,12,Het,20240705,0,0
zf3,nm2,12,Het,20240705,4,2
zf3,nm3,12,Het,20240705,3,1
zf3,nm4,12,Het,20240705,2,0
zf3,nm5,12,Het,20240705,2,2
zf3,nm6,12,Het,20240705,4,4
zf4,nm1,12,Het,20240705,4,1
zf4,nm3,12,Het,20240705,3,2
zf4,nm4,12,Het,20240705,0,0
zf4,nm5,12,Het,20240705,2,2
zf5,nm1,12,Het,20240705,3,0
zf5,nm2,12,Het,20240705,2,2
zf5,nm3,12,Het,20240705,2,0
zf5,nm4,12,Het,20240705,2,0
zf5,nm5,12,Het,20240705,1,0
zf6,nm1,12,Het,20240705,4,0
zf6,nm3,12,Het,20240705,2,2
zf6,nm4,12,Het,20240705,2,0
zf6,nm5,12,Het,20240705,2,0
zf7,nm1,12,Het,20240705,2,0
zf7,nm2,12,Het,20240705,2,0
zf7,nm3,12,Het,20240705,4,2
zf7,nm4,12,Het,20240705,1,1
zf8,nm1,12,Het,20240705,2,0
zf8,nm2,12,Het,20240705,1,0
zf8,nm3,12,Het,20240705,0,0
zf8,nm4,12,Het,20240705,2,2
zf9,nm1,12,Het,20240705,0,0
zf9,nm2,12,Het,20240705,4,2
zf9,nm3,12,Het,20240705,4,2
zf9,nm4,12,Het,20240705,1,0
zf9,nm5,12,Het,20240705,3,2
zf2,nm1,16,Het,20240712,1,0
zf2,nm2,16,Het,20240712,4,0
zf3,nm1,16,Het,20240712,5,1
zf3,nm2,16,Het,20240712,4,2
zf3,nm3,16,Het,20240712,5,1
zf3,nm4,16,Het,20240712,2,2
zf3,nm5,16,Het,20240712,4,2
zf4,nm1,16,WT,20240712,4,2
zf4,nm2,16,WT,20240712,2,2
zf4,nm3,16,WT,20240712,3,3
zf4,nm4,16,WT,20240712,3,2
zf4,nm5,16,WT,20240712,4,3
zf4,nm6,16,WT,20240712,1,1
zf5,nm1,16,WT,20240712,3,2
zf5,nm2,16,WT,20240712,2,1
zf5,nm3,16,WT,20240712,2,0
zf5,nm4,16,WT,20240712,3,0
zf6,nm1,16,Het,20240712,3,2
zf6,nm2,16,Het,20240712,3,0
zf6,nm3,16,Het,20240712,2,0
zf6,nm4,16,Het,20240712,4,2
zf7,nm1,16,WT,20240712,2,2
zf7,nm2,16,WT,20240712,2,2
zf8,nm1,16,WT,20240712,3,3
zf8,nm2,16,WT,20240712,2,2
zf8,nm3,16,WT,20240712,3,2
zf8,nm4,16,WT,20240712,0,0
zf8,nm5,16,WT,20240712,3,2
zf9,nm1,16,WT,20240712,2,2
zf9,nm2,16,WT,20240712,3,1
zf9,nm3,16,WT,20240712,2,2
zf9,nm4,16,WT,20240712,2,0
zf10,nm1,16,WT,20240712,2,2
zf10,nm2,16,WT,20240712,4,3
zf10,nm3,16,WT,20240712,5,1
zf10,nm4,16,WT,20240712,3,1
zf11,nm1,16,WT,20240712,4,1
zf11,nm2,16,WT,20240712,4,4
zf11,nm3,16,WT,20240712,4,2
zf11,nm4,16,WT,20240712,2,0
zf11,nm5,16,WT,20240712,2,2
zf11,nm6,16,WT,20240712,4,4
zf12,nm1,16,WT,20240712,0,0
zf12,nm2,16,WT,20240712,3,1
zf12,nm3,16,WT,20240712,6,5
zf12,nm4,16,WT,20240712,2,1
zf12,nm5,16,WT,20240712,1,1
zf13,nm1,16,Het,20240712,2,0
zf13,nm2,16,Het,20240712,1,0
zf13,nm3,16,Het,20240712,2,2
zf13,nm4,16,Het,20240712,4,2
zf13,nm5,16,Het,20240712,2,1
zf14,nm1,16,Het,20240712,4,2
zf14,nm2,16,Het,20240712,2,0
zf14,nm3,16,Het,20240712,2,2
zf14,nm4,16,Het,20240712,1,0
zf14,nm5,16,Het,20240712,5,2
zf14,nm6,16,Het,20240712,2,2
zf15,nm1,16,Het,20240712,2,0
zf15,nm2,16,Het,20240712,3,0
zf15,nm3,16,Het,20240712,4,0
zf15,nm4,16,Het,20240712,0,0
zf15,nm5,16,Het,20240712,3,1
zf15,nm6,16,Het,20240712,2,0
zf16,nm1,16,Het,20240712,6,2
zf16,nm2,16,Het,20240712,2,2
zf16,nm3,16,Het,20240712,7,2
zf16,nm4,16,Het,20240712,2,2
zf16,nm5,16,Het,20240712,2,0
zf16,nm6,16,Het,20240712,2,0
zf1,nm2,20,WT,20240729,4,2
zf1,nm3,20,WT,20240729,2,0
zf1,nm4,20,WT,20240729,6,3
zf1,nm5,20,WT,20240729,0,0
zf2,nm1,20,WT,20240729,6,2
zf2,nm2,20,WT,20240729,4,0
zf2,nm3,20,WT,20240729,4,2
zf2,nm4,20,WT,20240729,4,1
zf3,nm1,20,WT,20240729,3,1
zf3,nm2,20,WT,20240729,5,2
zf3,nm3,20,WT,20240729,6,4
zf3,nm4,20,WT,20240729,4,4
zf4,nm1,20,Het,20240729,2,2
zf4,nm2,20,Het,20240729,6,3
zf4,nm3,20,Het,20240729,8,2
zf4,nm4,20,Het,20240729,4,2
zf4,nm5,20,Het,20240729,4,3
zf5,nm1,20,WT,20240729,7,3
zf5,nm2,20,WT,20240729,4,4
zf5,nm3,20,WT,20240729,6,2
zf5,nm4,20,WT,20240729,6,2
zf5,nm5,20,WT,20240729,4,0
zf5,nm6,20,WT,20240729,2,0
zf6,nm1,20,WT,20240729,8,0
zf6,nm2,20,WT,20240729,7,0
zf6,nm3,20,WT,20240729,7,3
zf6,nm4,20,WT,20240729,4,4
zf6,nm5,20,WT,20240729,6,4
zf7,nm1,20,WT,20240729,4,2
zf7,nm2,20,WT,20240729,4,0
zf7,nm3,20,WT,20240729,4,1
zf7,nm4,20,WT,20240729,3,3
zf8,nm1,20,WT,20240729,5,1
zf8,nm2,20,WT,20240729,7,3
zf8,nm3,20,WT,20240729,7,2
zf8,nm4,20,WT,20240729,6,3
zf8,nm5,20,WT,20240729,4,2
zf9,nm1,20,Het,20240729,4,2
zf9,nm2,20,Het,20240729,8,4
zf9,nm3,20,Het,20240729,8,2
zf9,nm4,20,Het,20240729,6,2
zf9,nm5,20,Het,20240729,3,1
zf9,nm6,20,Het,20240729,2,2
zf10,nm1,20,WT,20240729,10,4
zf10,nm2,20,WT,20240729,6,4
zf10,nm3,20,WT,20240729,5,1
zf10,nm4,20,WT,20240729,5,3
zf11,nm1,20,WT,20240729,7,3
zf11,nm2,20,WT,20240729,6,1
zf11,nm3,20,WT,20240729,2,0
zf11,nm4,20,WT,20240729,6,2
zf11,nm5,20,WT,20240729,6,2
zf12,nm1,20,WT,20240729,6,4
zf12,nm2,20,WT,20240729,8,2
zf12,nm3,20,WT,20240729,8,4
zf12,nm4,20,WT,20240729,4,2
zf12,nm5,20,WT,20240729,5,2
zf13,nm1,20,WT,20240729,10,4
zf13,nm2,20,WT,20240729,8,2
zf13,nm3,20,WT,20240729,8,1
zf13,nm4,20,WT,20240729,6,4
zf14,nm1,20,Het,20240729,6,2
zf14,nm2,20,Het,20240729,5,0
zf14,nm3,20,Het,20240729,4,2
zf14,nm4,20,Het,20240729,4,0
zf14,nm5,20,Het,20240729,6,0
zf15,nm1,20,Het,20240729,6,1
zf15,nm2,20,Het,20240729,4,2
zf15,nm3,20,Het,20240729,4,2
zf15,nm4,20,Het,20240729,6,2
zf15,nm5,20,Het,20240729,2,1
zf15,nm6,20,Het,20240729,4,2
zf15,nm7,20,Het,20240729,3,2
zf16,nm1,20,WT,20240729,6,2
zf16,nm2,20,WT,20240729,5,1
zf16,nm3,20,WT,20240729,5,5
zf16,nm4,20,WT,20240729,6,4
zf16,nm5,20,WT,20240729,2,2
zf1,nm1,24,WT,20240723,7,3
zf1,nm2,24,WT,20240723,10,4
zf1,nm3,24,WT,20240723,6,2
zf1,nm4,24,WT,20240723,6,2
zf1,nm5,24,WT,20240723,8,5
zf2,nm1,24,Het,20240723,7,4
zf2,nm2,24,Het,20240723,12,7
zf2,nm3,24,Het,20240723,10,5
zf2,nm4,24,Het,20240723,9,6
zf2,nm5,24,Het,20240723,8,2
zf3,nm1,24,WT,20240723,8,6
zf3,nm2,24,WT,20240723,12,4
zf3,nm3,24,WT,20240723,7,0
zf3,nm4,24,WT,20240723,6,4
zf3,nm5,24,WT,20240723,4,2
zf4,nm1,24,WT,20240723,8,4
zf4,nm2,24,WT,20240723,10,6
zf4,nm3,24,WT,20240723,7,2
zf4,nm4,24,WT,20240723,8,4
zf4,nm5,24,WT,20240723,6,2
zf5,nm1,24,Het,20240723,6,0
zf5,nm2,24,Het,20240723,8,2
zf5,nm3,24,Het,20240723,10,3
zf5,nm4,24,Het,20240723,7,2
zf5,nm5,24,Het,20240723,6,3
zf5,nm6,24,Het,20240723,7,2
zf6,nm1,24,Het,20240723,9,4
zf6,nm2,24,Het,20240723,10,2
zf6,nm3,24,Het,20240723,6,2
zf6,nm4,24,Het,20240723,6,2
zf6,nm5,24,Het,20240723,7,3
zf7,nm1,24,WT,20240723,8,2
zf7,nm2,24,WT,20240723,10,2
zf7,nm3,24,WT,20240723,7,2
zf7,nm4,24,WT,20240723,6,3
zf7,nm5,24,WT,20240723,6,2
zf8,nm1,24,WT,20240723,10,4
zf8,nm2,24,WT,20240723,8,0
zf8,nm3,24,WT,20240723,6,2
zf8,nm4,24,WT,20240723,8,2
zf8,nm5,24,WT,20240723,6,1
zf9,nm1,24,Het,20240723,7,2
zf9,nm2,24,Het,20240723,8,4
zf9,nm3,24,Het,20240723,6,2
zf9,nm4,24,Het,20240723,6,4
zf9,nm5,24,Het,20240723,8,4
zf10,nm1,24,WT,20240723,9,2
zf10,nm2,24,WT,20240723,6,2
zf10,nm3,24,WT,20240723,8,3
zf10,nm4,24,WT,20240723,6,2
zf10,nm5,24,WT,20240723,6,5
zf10,nm6,24,WT,20240723,7,5
zf11,nm1,24,Het,20240723,6,2
zf11,nm2,24,Het,20240723,6,2
zf11,nm3,24,Het,20240723,9,4
zf11,nm4,24,Het,20240723,10,3
zf12,nm1,24,Het,20240723,8,2
zf12,nm2,24,Het,20240723,6,2
zf12,nm3,24,Het,20240723,6,2
zf12,nm4,24,Het,20240723,4,2
zf12,nm5,24,Het,20240723,8,2
zf13,nm1,24,WT,20240723,8,5
zf13,nm2,24,WT,20240723,10,6
zf13,nm3,24,WT,20240723,7,3
zf13,nm4,24,WT,20240723,8,2
zf13,nm5,24,WT,20240723,8,4
zf13,nm6,24,WT,20240723,6,2
zf14,nm1,24,Het,20240723,4,2
zf14,nm2,24,Het,20240723,4,1
zf14,nm3,24,Het,20240723,8,6
zf14,nm4,24,Het,20240723,8,4
zf14,nm5,24,Het,20240723,2,0
